codigo,marca,tipo,categoria,preco_unitario,custo,obs
TEAD000251,Adidas,Tenis,Corrida,150.00,60.00,
TEAD000192,Adidas,Tenis,Corrida,120.00,50.00,
NITD000251,Nike,Tenis,Corrida,180.00,70.00,
NITD000192,Nike,Tenis,Corrida,140.00,60.00,
NITD000193,Nike,Tenis,Esportivo,200.00,80.00,
NITD000194,Nike,Tenis,Esportivo,160.00,70.00,
BENK000111,Nike,Bermuda,Esportiva,50.00,20.00,
NITC000251,Nike,Camisa,Esportiva,80.00,35.00,
NITC000252,Nike,Camisa,Esportiva,85.00,40.00,
BONB000251,New Balance,Bone,Esportivo,75.00,35.00,
BOUA000252,Under Armour,Bone,Esportivo,70.00,30.00,
CAPU000273,Puma,Camisa,Esportiva,90.00,40.00,Conferir estoque
TEAD000253,Adidas,Tenis,Basquete,160.00,65.00,
TEAD000194,Adidas,Tenis,Basquete,130.00,55.00,
NITD000253,Nike,Tenis,Basquete,200.00,80.00,
NITD000254,Nike,Tenis,Basquete,160.00,70.00,
NITD000255,Nike,Tenis,Corrida,220.00,90.00,
NITD000256,Nike,Tenis,Corrida,180.00,80.00,
BENK000112,Nike,Bermuda,Esportiva,55.00,25.00,
NITC000253,Nike,Camisa,Esportiva,90.00,45.00,
NITC000254,Nike,Camisa,Esportiva,95.00,50.00,
BONB000252,New Balance,Bone,Esportivo,80.00,40.00,
BOUA000253,Under Armour,Bone,Esportivo,75.00,35.00,
CAPU000274,Puma,Camisa,Esportiva,95.00,45.00,
TEAD000255,Adidas,Tenis,Corrida,170.00,70.00,
TEAD000196,Adidas,Tenis,Corrida,140.00,60.00,
NITD000257,Nike,Tenis,Esportivo,240.00,100.00,
NITD000258,Nike,Tenis,Esportivo,200.00,90.00,
NITD000259,Nike,Tenis,Basquete,260.00,110.00,
NITD000260,Nike,Tenis,Basquete,220.00,100.00,
BENK000113,Nike,Bermuda,Esportiva,60.00,30.00,
NITC000255,Nike,Camisa,Esportiva,100.00,50.00,
NITC000256,Nike,Camisa,Esportiva,105.00,55.00,
BONB000253,New Balance,Bone,Esportivo,85.00,45.00,
BOUA000254,Under Armour,Bone,Esportivo,80.00,40.00,
CAPU000275,Puma,Camisa,Esportiva,100.00,50.00,
TEAD000257,Adidas,Tenis,Corrida,180.00,75.00,
TEAD000198,Adidas,Tenis,Corrida,150.00,65.00,
NITD000261,Nike,Tenis,Esportivo,280.00,120.00,
NITD000262,Nike,Tenis,Esportivo,240.00,110.00,
NITD000263,Nike,Tenis,Basquete,320.00,140.00,
NITD000264,Nike,Tenis,Basquete,280.00,130.00,
BENK000114,Nike,Bermuda,Esportiva,65.00,35.00,
NITC000257,Nike,Camisa,Esportiva,110.00,60.00,
NITC000258,Nike,Camisa,Esportiva,115.00,65.00,
BONB000254,New Balance,Bone,Esportivo,90.00,55.00,
BOUA000255,Under Armour,Bone,Esportivo,85.00,50.00,
CAPU000276,Puma,Camisa,Esportiva,105.00,55.00,
TEAD000259,Adidas,Tenis,Corrida,190.00,80.00,
TEAD000200,Adidas,Tenis,Corrida,160.00,70.00,
NITD000265,Nike,Tenis,Esportivo,340.00,150.00,
NITD000266,Nike,Tenis,Esportivo,300.00,140.00,
NITD000267,Nike,Tenis,Basquete,380.00,170.00,
NITD000268,Nike,Tenis,Basquete,340.00,160.00,
BENK000115,Nike,Bermuda,Esportiva,70.00,40.00,
NITC000259,Nike,Camisa,Esportiva,120.00,65.00,
NITC000260,Nike,Camisa,Esportiva,125.00,70.00,
BONB000255,New Balance,Bone,Esportivo,95.00,60.00,
BOUA000256,Under Armour,Bone,Esportivo,90.00,55.00,
CAPU000277,Puma,Camisa,Esportiva,110.00,60.00,
TEAD000261,Adidas,Tenis,Corrida,200.00,85.00,
TEAD000202,Adidas,Tenis,Corrida,170.00,75.00,
NITD000269,Nike,Tenis,Esportivo,400.00,180.00,
NITD000270,Nike,Tenis,Esportivo,360.00,170.00,
NITD000271,Nike,Tenis,Basquete,460.00,200.00,
NITD000272,Nike,Tenis,Basquete,400.00,190.00,
BENK000116,Nike,Bermuda,Esportiva,75.00,45.00,
NITC000263,Nike,Camisa,Casual,130.00,70.00,
NITC000264,Nike,Camisa,Casual,135.00,75.00,
BONB000256,New Balance,Bone,Casual,105.00,65.00,
BOUA000257,Under Armour,Bone,Casual,100.00,60.00,
CAPU000278,Puma,Camisa,Casual,120.00,65.00,
TEAD000263,Adidas,Tenis,Casual,210.00,90.00,
TEAD000204,Adidas,Tenis,Casual,180.00,80.00,
NITD000273,Nike,Tenis,Esportivo,460.00,200.00,
NITD000274,Nike,Tenis,Esportivo,400.00,190.00,
NITD000275,Nike,Tenis,Casual,540.00,240.00,
NITD000276,Nike,Tenis,Casual,480.00,230.00,
BENK000117,Nike,Bermuda,Esportiva,80.00,50.00,
NITC000265,Nike,Camisa,Esportiva,140.00,75.00,
NITC000266,Nike,Camisa,Esportiva,145.00,80.00,
BONB000257,New Balance,Bone,Esportivo,105.00,70.00,
BOUA000258,Under Armour,Bone,Esportivo,100.00,65.00,
CAPU000279,Puma,Camisa,Esportiva,120.00,70.00,
TEAD000265,Adidas,Tenis,Corrida,220.00,95.00,
TEAD000206,Adidas,Tenis,Corrida,190.00,85.00,
NITD000277,Nike,Tenis,Esportivo,520.00,230.00,
NITD000278,Nike,Tenis,Esportivo,460.00,220.00,
NITD000279,Nike,Tenis,Casual,620.00,280.00,
NITD000280,Nike,Tenis,Casual,560.00,270.00,
BENK000118,Nike,Bermuda,Esportiva,85.00,55.00,
NITC000267,Nike,Camisa,Esportiva,150.00,80.00,
NITC000268,Nike,Camisa,Esportiva,155.00,85.00,
BONB000258,New Balance,Bone,Esportivo,110.00,75.00,
BOUA000259,Under Armour,Bone,Esportivo,105.00,70.00,
CAPU000280,Puma,Camisa,Esportiva,125.00,75.00,
TEAD000267,Adidas,Tenis,Corrida,230.00,100.00,
TEAD000208,Adidas,Tenis,Corrida,200.00,90.00
